,station_uid,line_uid,line_name,station_name,stationid,poiid,pointx,pointy,poitype,trans,color,ccode,line_start_city,line_terminal_city,line_tag,expect_open_time,line_open_status,is_updown,nearby_lines,trans_lines_detail,trans_lines_count,station_index,stations_count,platform_count_final,line_name_clean,trans_count_final,station_score,station_score_normalized,trans_lines_normalized,platform_normalized,station_score_normalized_final,trans_lines_normalized_final,platform_normalized_final,final_score
71,7921535806425741193,6059181244303640663,地铁4号线大兴线,国家图书馆,2199026591076,10003966508927872511,116.325107,39.943254,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,"['地铁9号线', '地铁16号线']",2,26,35,2.0,地铁4号线大兴线,3,27.0,0.5294117647058822,0.6666666666666667,0.3333333333333333,1.5294117647058825,0.6666666666666667,0.3333333333333333,0.7725490196078432
74,13581447029782701796,6059181244303640663,地铁4号线大兴线,魏公村,2199028257930,10003688608525786271,116.323229,39.957901,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,27,35,1.0,地铁4号线大兴线,1,26.0,0.47058823529411753,0.0,0.0,0.47058823529411753,0.0,0.0,0.09411764705882351
75,10994760370642407715,6059181244303640663,地铁4号线大兴线,人民大学,2199028257931,2199028258650,116.321385,39.966943,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,['地铁12号线'],1,28,35,1.0,地铁4号线大兴线,1,25.0,0.4117647058823528,0.0,0.0,0.4117647058823528,0.0,0.0,0.08235294117647057
76,11917742193463770540,6059181244303640663,地铁4号线大兴线,海淀黄庄,2199028257932,2199027130271,116.317612,39.975951,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,['地铁10号线外环'],1,29,35,1.0,地铁4号线大兴线,2,24.0,0.3529411764705881,0.3333333333333333,0.0,0.44385026737967914,0.3333333333333333,0.0,0.2887700534759358
78,15848711823938980098,6059181244303640663,地铁4号线大兴线,中关村,17298256072050286511,2199027905900,116.316478,39.984055,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,30,35,1.0,地铁4号线大兴线,1,23.0,0.2941176470588236,0.0,0.0,0.2941176470588236,0.0,0.0,0.05882352941176472
79,14094855648124154416,6059181244303640663,地铁4号线大兴线,北京大学东门,2199028257933,10003561295191472401,116.315847,39.992189,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,31,35,1.0,地铁4号线大兴线,1,22.0,0.23529411764705888,0.0,0.0,0.23529411764705888,0.0,0.0,0.04705882352941178
80,11461415483872941763,6059181244303640663,地铁4号线大兴线,圆明园,2199028257934,10003396370066041841,116.310195,39.99966,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,32,35,1.0,地铁4号线大兴线,1,21.0,0.17647058823529416,0.0,0.0,0.17647058823529416,0.0,0.0,0.03529411764705883
81,1144365001392726424,6059181244303640663,地铁4号线大兴线,西苑,13624059496491029839,2199027905901,116.290852,39.998283,2,1,#59BDC9,110000,110000,110000,1:1,,1,1,,['地铁16号线'],1,33,35,2.0,地铁4号线大兴线,2,20.0,0.11764705882352944,0.3333333333333333,0.3333333333333333,0.8099547511312217,0.3333333333333333,0.3333333333333333,0.42865761689291104
83,11459120758528885617,6059181244303640663,地铁4号线大兴线,北宫门,8350329155474148876,10003105637968960351,116.277648,40.002369,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,34,35,1.0,地铁4号线大兴线,1,19.0,0.05882352941176472,0.0,0.0,0.05882352941176472,0.0,0.0,0.011764705882352944
84,14214069492370274346,6059181244303640663,地铁4号线大兴线,安河桥北,15973012621984576021,10003321356766041651,116.26999,40.012317,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,35,35,1.0,地铁4号线大兴线,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,16545840623724351611,954505419264527434,地铁5号线,天通苑北,2199027905383,2199027905969,116.412891,40.083675,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,1,23,1.0,地铁5号线,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,3332603237560836870,954505419264527434,地铁5号线,天通苑,2199028257905,10003261612468380901,116.412878,40.07524,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,['地铁13A号线'],1,2,23,1.0,地铁5号线,1,13.0,0.09090909090909105,0.0,0.0,0.09090909090909105,0.0,0.0,0.018181818181818212
87,9581861068058639656,954505419264527434,地铁5号线,天通苑南,2199027905384,10003409833293754011,116.412688,40.066499,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,3,23,1.0,地铁5号线,1,14.0,0.18181818181818188,0.0,0.0,0.18181818181818188,0.0,0.0,0.036363636363636376
88,1743184906705229678,954505419264527434,地铁5号线,立水桥,2199028257906,10003995442883266621,116.41233,40.053039,2,1,#D453A6,110000,110000,110000,1:1,,1,1,,"['地铁13号线', '地铁13B号线']",2,4,23,2.0,地铁5号线,2,15.0,0.27272727272727293,0.3333333333333333,0.3333333333333333,1.022727272727273,0.3333333333333333,0.3333333333333333,0.47121212121212125
90,7974141940672714472,954505419264527434,地铁5号线,立水桥南,2199027905385,10003265531626903101,116.414475,40.041961,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,5,23,1.0,地铁5号线,1,16.0,0.36363636363636376,0.0,0.0,0.36363636363636376,0.0,0.0,0.07272727272727275
91,14730839505547114617,954505419264527434,地铁5号线,北苑路北,1880604071118174065,10003023429470085391,116.41814,40.030587,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,6,23,1.0,地铁5号线,1,17.0,0.4545454545454546,0.0,0.0,0.4545454545454546,0.0,0.0,0.09090909090909093
